"Raw Data File","tracer molecule","labelled positions","Abundance [%]",Injection,Replicate,"Incubation time [hours]","Metabolite name","CHEBI identifier","atomic positions of fragment","Empirical formula derivatized molecule/fragment","m/z monitored","signal intensity","isotopologue symbol","peaks abundances [%]"
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-451,,
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,94646,m0,
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,16909,m1,
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,13114,m2,
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,1631,m3,
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,2106,m4,
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,-171,m5,
RibHyp1_01.CDF,Glucose,"1,1,0,0,0,0",48,1,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,-153,,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-252,,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,337937,m0,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,65242,m1,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,48387,m2,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,8968,m3,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,9093,m4,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,766,m5,
RibHyp1_02.CDF,Glucose,"1,1,0,0,0,0",48,2,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,147,,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-195,,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,357337,m0,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,68874,m1,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,51258,m2,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,9499,m3,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,9695,m4,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,820,m5,
RibHyp1_03.CDF,Glucose,"1,1,0,0,0,0",48,3,1,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,139,,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,255,-375,,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,256,288317,m0,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,257,51906,m1,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,258,34832,m2,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,259,6473,m3,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,260,6244,m4,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,261,473,m5,
RibHyp2_01.CDF,Glucose,"1,1,0,0,0,0",48,1,2,40,D-Ribose,CHEBI:16988,C1-C5,C11H14O6N,262,-18,,
